"";"";"";"";"amendment";""
"1";"amendment";"-2.11112461599198";"-0.570748216435";"1.08700467457749";"66"
"2";"telegram";"-2.11112461599198";"-0.570748216434999";"1.03868084450609";"102"
"3";"serve";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"153"
"4";"humiliate";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"156"
"5";"criminal";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"157"
"6";"sophie";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"160"
"7";"penny";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"161"
"8";"mani";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"163"
"9";"democracy";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"164"
"10";"criminalize";"-2.11112461599198";"-0.570748216434999";"0.99053783325628";"166"
